User Type,Source,Medium,Browser,Device Category,Date,Pageviews
New Visitor,(direct),(none),Chrome,desktop,2020-08-03,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-19,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-19,2
New Visitor,(direct),(none),Chrome,desktop,2020-08-03,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-27,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-07,4
New Visitor,(direct),(none),Chrome,mobile,2020-07-28,2
New Visitor,(direct),(none),Chrome,mobile,2020-08-02,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-04,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-22,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-07,2
New Visitor,(direct),(none),Chrome,mobile,2020-07-22,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-05,3
New Visitor,(direct),(none),Chrome,mobile,2020-07-15,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-23,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-15,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-08,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-23,2
New Visitor,(direct),(none),Chrome,mobile,2020-07-15,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-18,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-27,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-09,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-19,2
New Visitor,(direct),(none),Chrome,mobile,2020-07-19,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-07,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-19,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-23,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-08,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-09,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-20,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-09,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-11,1
